NO,식품종류,식품명,상세분류,1회제공량,kcal,단백질(g),지방(g),탄수화물(g)
13877,가공식품,국산콩 순두부,두부,100.0,50,5,3.1,1
13878,가공식품,초당 순두부,두부,100.0,53.5,5.9,3.1,0.5
13879,가공식품,선데이 카야잼,잼,20.0,62,0.8,1.6,11.2
13880,가공식품,건강한 부침가루,곡류가공품,100.0,365,11,2.9,74
13881,가공식품,5가지 자연에서 얻은 재료 부침가루,곡류가공품,100.0,365,-,-,-
13882,가공식품,스타벅스 더블샷 에스프레소&크림,커피,200.0,115,3.8,2.4,20
13883,가공식품,맥심 에스프레소 티.오.피 스위트 아메리카노,커피,275.0,48,0,0,12
13884,가공식품,시그니처 스위트 아메리카노,커피,275.0,43,1,0,10
13885,가공식품,칸타타 카라멜 마키아토,커피,275.0,122,2,2,24
13886,가공식품,맥스웰하우스 콜롬비아나 카페라떼,커피,240.0,90,1,1.5,18
13887,가공식품,프레스코 압착올리브유,올리브유,100.0,900,0,100,0
13888,가공식품,포도씨유,기타식물성유지,100.0,900,0,100,0
13889,가공식품,해표 카놀라유,채종유(유채유 또는 카놀라유),100.0,900,0,100,0
13890,가공식품,백설 콩기름,콩기름(대두유),100.0,900,0,100,0
13891,가공식품,오뚜기 옛날참기름,참기름,100.0,828,0,92,0
13892,가공식품,빈츠,초콜릿가공품,8.5,45,1,2.3,5
13893,가공식품,오리온 핫브레이크 미니l,초콜릿가공품,14.0,69,1,3.7,8
13894,가공식품,미니 자유시간,초콜릿가공품,10.0,47,0.9,2.2,6
13895,가공식품,허쉬 크리미 밀크초콜릿,밀크초콜릿,100.0,545,9,31,57
13896,가공식품,초코파이 정,초콜릿가공품,39.0,171,2,7,25
13897,가공식품,개성 왕새우 군만두,만두,100.0,195,7,10,19
13898,가공식품,허니갈릭소스 뿌린 왕교자,만두,246.0,465,15,18,62
13899,가공식품,감자떡만두,만두,100.0,190,8,7,24
13900,가공식품,더욱 맛있어진 뉴 백설군만두,만두,445.0,1064,30,60,101
13901,가공식품,청고추만두,만두,400.0,675,33,26,80
13902,가공식품,마시는 오 비타,과/채음료,100.0,80,0,0,20
13903,가공식품,제주감귤,과/채음료,140.0,55,0,0.6,13
13904,가공식품,상큼한사과,과/채음료,140.0,55,0,0,14
13905,가공식품,힘내 파인애플씨,과/채음료,135.0,70,0,0,18
13906,가공식품,뽀로로 멜론,유산균음료,120.0,130,1,0,33
13907,가공식품,뽀로로 망고,유산균음료,120.0,130,1,0,33
13908,가공식품,썬키스트 폴리 사과요구르트,혼합음료,100.0,60,0,0,16
13909,가공식품,초이스엘 상쾌한 박하향 캔디 OEM,사탕,100.0,395,0,0,98
13910,가공식품,츄파춥스 후르츠 10개입,사탕,11.0,44,0,0,11
13911,가공식품,초이스엘 계피맛 캔디 OEM,사탕,100.0,395,0,0,98
13912,가공식품,초이스엘 누룽지맛 캔디 OEM,사탕,10.0,40,0,0,10
13913,가공식품,초이스엘 홍삼캔디,사탕,100.0,395,0,0,98
13914,가공식품,초이스엘 흑사탕,사탕,10.0,40,0,0,10
13915,가공식품,청포도 캔디,사탕,323.0,1260,1,0.2,314
